"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.86121587769456e-161,1.66385328858305,0.384,0.133,5.24955938303752e-157,"2","Nsa2"
1.55871415342266e-160,1.53718900960383,0.425,0.159,4.39635326972861e-156,"2","Rpl28"
1.07919994409648e-159,1.57660270782185,0.397,0.142,3.04388344232413e-155,"2","Snrpg"
4.03461916944575e-155,2.12308316395656,0.266,0.071,1.13796433674217e-150,"2","RP23-246L14.4"
4.30525748259141e-155,1.57505609004413,0.408,0.154,1.21429787296491e-150,"2","Tubb5"
2.19994833713575e-152,2.01399625170852,0.272,0.074,6.20495428489137e-148,"2","Evl"
2.34280483970925e-152,1.6922110223907,0.333,0.106,6.60788105039995e-148,"2","Gm12090"
5.14392224563787e-152,1.56859758618574,0.378,0.135,1.45084326938216e-147,"2","Anxa6"
6.53062601505807e-151,1.70124561125307,0.362,0.126,1.84196306754713e-146,"2","Tpt1-ps3"
3.30497717930091e-150,1.6443176852401,0.349,0.118,9.32168813421822e-146,"2","Nme2"
2.01039835469763e-149,1.88074161278313,0.297,0.088,5.67032855942466e-145,"2","Gm6134"
3.28231981279925e-148,1.89419852510876,0.263,0.071,9.25778303200028e-144,"2","Foxo1"
1.77403889534604e-147,1.27731209810557,0.563,0.277,5.00367670432349e-143,"2","mt-Nd3"
6.63211670056704e-144,0.723672589059375,0.915,0.78,1.87058851539493e-139,"2","Gm9843"
7.36684009130338e-142,1.66434252136663,0.348,0.122,2.07781724775212e-137,"2","Gm14754"
1.39209434993474e-141,1.69001343227256,0.323,0.107,3.92640211399093e-137,"2","1600029O15Rik"
2.69669206311498e-140,2.025939328625,0.272,0.08,7.60601996401582e-136,"2","Eif3e"
1.00456626300676e-139,1.82746459947235,0.271,0.078,2.83337914481056e-135,"2","Gm11400"
3.73592631321377e-134,0.784445640635651,0.756,0.476,1.05371801664194e-129,"2","Rbmx"
9.05637245136698e-134,1.34320135537161,0.495,0.23,2.55434984990806e-129,"2","Cox7a2l"
4.96502754596805e-133,1.83038000600284,0.253,0.071,1.40038601934029e-128,"2","Gm4604"
2.00585181364208e-128,1.76340968514339,0.265,0.08,5.65750504037749e-124,"2","Gm16106"
3.28024126888994e-125,1.63089828438986,0.305,0.106,9.25192049890409e-121,"2","Gm8186"
9.00778031923319e-125,0.78600101335256,0.732,0.429,2.54064443903972e-120,"2","Ptma"
3.66026290377415e-121,1.35266415012319,0.372,0.148,1.0323771520095e-116,"2","Gm11407"
2.81083325106672e-120,1.50325639327887,0.35,0.134,7.92795518463367e-116,"2","S100a10"
3.55642317422182e-120,0.71719291553943,0.916,0.793,1.00308915628927e-115,"2","B2m"
3.8069095125554e-120,1.30247183343919,0.483,0.236,1.07373882801625e-115,"2","Aes"
7.5888767853895e-115,1.31703952100655,0.403,0.176,2.14044269731911e-110,"2","Atp5g2"
4.6748468597683e-114,0.99285743368986,0.698,0.46,1.31854055679765e-109,"2","Pabpc1"
1.14447142779784e-111,1.59164174322453,0.304,0.112,3.22798166210381e-107,"2","Gm14214"
2.09465100364102e-111,1.73025305262094,0.263,0.088,5.9079631557695e-107,"2","Gm7393"
4.11006965224375e-110,1.65683437020861,0.272,0.093,1.15924514541535e-105,"2","Gm20390"
5.46977323102194e-110,1.33678712031647,0.379,0.163,1.54274953980974e-105,"2","Gm10175"
7.74588316466956e-110,1.17346591749403,0.581,0.343,2.18472634659505e-105,"2","H2-Q7"
2.87906796023846e-109,1.49519126453211,0.32,0.123,8.12041118185258e-105,"2","Gm4468"
2.50671521056135e-108,1.48835545378518,0.308,0.115,7.07019025138829e-104,"2","Ptpn18"
3.49349169045814e-104,0.706648975902515,0.833,0.651,9.85339331293717e-100,"2","Fau"
3.87746750416474e-104,1.04779629571682,0.474,0.235,1.09363970954967e-99,"2","Npc2"
4.44594563217099e-104,0.65050071098548,0.424,0.18,1.25397896555383e-99,"2","Crip1"
7.12428619786212e-104,1.59519096234409,0.317,0.126,2.00940492210701e-99,"2","RP23-151G22.1"
2.55856559327684e-103,2.55831483679341,0.308,0.131,7.21643425583732e-99,"2","Cd8b1"
5.19717848781928e-98,1.53150820663831,0.306,0.122,1.46586419248943e-93,"2","Tnfaip3"
4.25397501204401e-97,1.52066290979376,0.272,0.101,1.19983365214701e-92,"2","Rapgef6"
1.25786676123952e-96,1.36440046751358,0.329,0.137,3.54781320007606e-92,"2","Gm12643"
3.22781568699994e-96,1.33085829053224,0.367,0.166,9.10405414518333e-92,"2","Peli1"
5.06092118613516e-96,1.3045698961106,0.427,0.214,1.42743282054942e-91,"2","Ncl"
5.7696221698698e-95,1.4460575098556,0.273,0.101,1.62732193301178e-90,"2","Kxd1"
1.70571949763734e-94,1.45820151385549,0.306,0.124,4.8109818430861e-90,"2","Tbkbp1"
6.73351992351972e-92,1.15113991086011,0.441,0.224,1.89918929442874e-87,"2","Serbp1"
7.07280579454447e-92,0.929240597189025,0.576,0.342,1.99488487435127e-87,"2","Limd2"
8.8932037512209e-91,1.43823242821722,0.295,0.12,2.50832811803185e-86,"2","Hspe1"
2.42852288563041e-89,1.43503329894977,0.338,0.152,6.84964879892057e-85,"2","Arl4c"
8.266616636253e-89,1.0519242565463,0.449,0.229,2.33159922225516e-84,"2","Ltb"
1.69314138778874e-87,1.12518062168936,0.327,0.14,4.77550528425814e-83,"2","Eif3f"
6.52304410198071e-82,1.25769564610381,0.274,0.112,1.83982458896366e-77,"2","Esyt1"
9.55903740326259e-77,1.09458403484683,0.41,0.217,2.69612649959021e-72,"2","Uqcrh"
5.95963414124265e-76,1.07779228551723,0.412,0.22,1.68091480953749e-71,"2","Arhgef1"
1.03625613115113e-75,1.33980984791325,0.257,0.104,2.92276041791175e-71,"2","H2-Q6"
8.10700189168658e-75,1.65146478407746,0.279,0.125,2.2865798835502e-70,"2","Als2cl"
4.14355553466995e-71,1.20499452572598,0.331,0.161,1.16868983855366e-66,"2","Eif3k"
4.00542313360543e-70,1.28324747373861,0.264,0.115,1.12972959483341e-65,"2","Cct2"
8.41136230425649e-69,1.25848908586944,0.252,0.107,2.37242473791554e-64,"2","Gm13504"
1.08985133685066e-66,0.857647957462468,0.47,0.273,3.0739256955873e-62,"2","Hnrnpa3"
1.87350204802747e-66,1.12261929963289,0.314,0.152,5.28421252646147e-62,"2","Eif4b"
1.12298809918111e-64,0.70116808595945,0.437,0.241,3.16738793374033e-60,"2","Gm12504"
5.79151789879691e-63,1.18086438412594,0.298,0.144,1.63349762335567e-58,"2","Hcst"
7.43653698414995e-60,0.593442536999153,0.398,0.214,2.09747525637949e-55,"2","Tagln2"
1.19222979289168e-57,0.86581576701628,0.324,0.166,3.36268413085097e-53,"2","Tuba1b"
1.51506202037128e-57,1.1169324586666,0.299,0.15,4.2732324284572e-53,"2","Hint1"
2.48755835293695e-56,1.18487106332046,0.283,0.139,7.01615833445867e-52,"2","Leprotl1"
2.60183228940404e-56,0.90186146030347,0.356,0.192,7.3384679722641e-52,"2","Psmb8"
1.40576983918787e-53,1.05867804474737,0.388,0.225,3.96497383142939e-49,"2","Ifngr1"
2.56803798371021e-53,0.919689587273663,0.333,0.179,7.24315113305465e-49,"2","Psme1"
1.04110352215831e-52,0.919414211309878,0.315,0.164,2.93643248424752e-48,"2","Gm5641"
2.00432823468261e-52,0.932020757828497,0.334,0.181,5.6532077859223e-48,"2","Set"
1.39212064287653e-50,0.731146588942251,0.456,0.288,3.92647627323325e-46,"2","Btf3"
1.48566214386509e-50,0.98205880078922,0.251,0.121,4.19031007677148e-46,"2","Gltscr2"
2.39424261152535e-50,1.09975376754276,0.256,0.126,6.75296128580725e-46,"2","Sh3kbp1"
5.84544849638117e-50,0.867859837608161,0.359,0.206,1.64870874840431e-45,"2","Rnaset2b"
1.338041514866e-49,0.794703553713078,0.372,0.216,3.77394609267956e-45,"2","Rnaset2a"
3.87602618143923e-48,1.14909325573593,0.282,0.148,1.09323318447493e-43,"2","Atp5g3"
